index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Total Generation Actual (in MU),Total Generation Estimated (in MU),Year,Month,DayOfWeek
129,2017-09-26,NorthEastern,29.11,30.02,0.0,0.0,24.64,21.85,53.75,51.870000000000005,2017,9,1
130,2017-09-27,Northern,626.73,661.69,30.36,35.54,63.36,65.3,720.45,762.53,2017,9,2
132,2017-09-27,Southern,591.15,543.71,62.73,42.16,111.57,79.2,765.45,665.07,2017,9,2
133,2017-09-27,Eastern,486.07,445.78,0.0,0.0,85.94,73.83,572.01,519.61,2017,9,2
134,2017-09-27,NorthEastern,29.11,30.1,0.0,0.0,24.64,21.47,53.75,51.57,2017,9,2
135,2017-09-28,Northern,630.62,668.2,30.36,35.75,63.36,65.3,724.34,769.25,2017,9,3
137,2017-09-28,Southern,591.15,513.01,62.73,42.24,111.57,82.36,765.45,637.61,2017,9,3
138,2017-09-28,Eastern,486.07,431.07,0.0,0.0,85.94,70.97,572.01,502.03999999999996,2017,9,3
139,2017-09-28,NorthEastern,29.11,30.25,0.0,0.0,24.64,22.83,53.75,53.08,2017,9,3
140,2017-09-29,Northern,630.62,649.48,30.36,35.81,63.36,65.3,724.34,750.5899999999999,2017,9,4
142,2017-09-29,Southern,601.66,485.78,62.73,40.27,111.57,83.47,775.96,609.52,2017,9,4
143,2017-09-29,Eastern,486.07,417.12,0.0,0.0,85.94,71.65,572.01,488.77,2017,9,4
144,2017-09-29,NorthEastern,29.11,29.71,0.0,0.0,24.64,25.09,53.75,54.8,2017,9,4
145,2017-09-30,Northern,630.62,661.15,30.36,35.83,63.36,65.3,724.34,762.28,2017,9,5
147,2017-09-30,Southern,601.66,475.84,62.73,40.47,111.57,69.71,775.96,586.02,2017,9,5
148,2017-09-30,Eastern,486.07,403.41,0.0,0.0,85.94,71.71,572.01,475.12,2017,9,5
149,2017-09-30,NorthEastern,29.11,29.41,0.0,0.0,24.64,27.65,53.75,57.06,2017,9,5
150,2017-10-01,Northern,621.75,650.52,25.8,36.17,157.46,222.85,805.01,909.54,2017,10,6
152,2017-10-01,Southern,575.7,466.38,47.73,40.16,92.06,49.74,715.49,556.28,2017,10,6
153,2017-10-01,Eastern,479.5,382.63,0.0,0.0,63.36,71.06,542.86,453.69,2017,10,6
154,2017-10-01,NorthEastern,29.16,29.11,0.0,0.0,17.17,27.48,46.33,56.59,2017,10,6
155,2017-10-03,Northern,621.75,691.52,25.8,36.03,157.46,218.56,805.01,946.1099999999999,2017,10,1
157,2017-10-03,Southern,575.7,523.36,47.73,41.91,92.06,67.76,715.49,633.03,2017,10,1
158,2017-10-03,Eastern,479.5,396.4,0.0,0.0,63.36,76.3,542.86,472.7,2017,10,1
159,2017-10-03,NorthEastern,29.16,29.33,0.0,0.0,17.17,25.78,46.33,55.11,2017,10,1
160,2017-10-04,Northern,621.75,719.34,25.8,35.95,157.46,216.91,805.01,972.2,2017,10,2
162,2017-10-04,Southern,575.7,548.0,47.73,43.93,92.06,80.9,715.49,672.8299999999999,2017,10,2
163,2017-10-04,Eastern,479.5,387.92,0.0,0.0,63.36,80.68,542.86,468.6,2017,10,2
164,2017-10-04,NorthEastern,29.16,30.12,0.0,0.0,17.17,25.15,46.33,55.269999999999996,2017,10,2
165,2017-10-05,Northern,621.75,741.62,25.8,35.91,157.46,212.62,805.01,990.15,2017,10,3
167,2017-10-05,Southern,575.7,577.17,47.73,45.3,92.06,74.98,715.49,697.4499999999999,2017,10,3
168,2017-10-05,Eastern,479.5,387.85,0.0,0.0,63.36,81.2,542.86,469.05,2017,10,3
169,2017-10-05,NorthEastern,29.16,31.05,0.0,0.0,17.17,24.35,46.33,55.400000000000006,2017,10,3
170,2017-10-06,Northern,621.75,742.06,25.8,35.87,157.46,209.7,805.01,987.6299999999999,2017,10,4
172,2017-10-06,Southern,581.31,569.68,47.73,45.87,92.06,65.89,721.0999999999999,681.4399999999999,2017,10,4
173,2017-10-06,Eastern,479.5,401.48,0.0,0.0,63.36,77.08,542.86,478.56,2017,10,4
174,2017-10-06,NorthEastern,29.16,31.36,0.0,0.0,17.17,23.01,46.33,54.370000000000005,2017,10,4
175,2017-10-07,Northern,621.75,750.1,25.8,36.04,157.46,208.0,805.01,994.14,2017,10,5
177,2017-10-07,Southern,581.31,573.48,47.73,46.09,92.06,74.06,721.0999999999999,693.6300000000001,2017,10,5
178,2017-10-07,Eastern,479.5,402.74,0.0,0.0,63.36,73.75,542.86,476.49,2017,10,5
179,2017-10-07,NorthEastern,29.16,30.95,0.0,0.0,17.17,21.94,46.33,52.89,2017,10,5
180,2017-10-08,Northern,621.75,728.14,25.8,36.1,157.46,200.47,805.01,964.71,2017,10,6
182,2017-10-08,Southern,590.19,524.03,47.73,46.26,92.06,71.65,729.98,641.9399999999999,2017,10,6
183,2017-10-08,Eastern,479.5,404.25,0.0,0.0,63.36,72.49,542.86,476.74,2017,10,6
184,2017-10-08,NorthEastern,29.16,30.12,0.0,0.0,17.17,19.52,46.33,49.64,2017,10,6
185,2017-10-09,Northern,621.75,727.35,25.8,36.01,157.46,195.33,805.01,958.69,2017,10,0
187,2017-10-09,Southern,590.19,550.53,47.73,46.15,92.06,94.72,729.98,691.4,2017,10,0
188,2017-10-09,Eastern,479.5,413.99,0.0,0.0,63.36,66.62,542.86,480.61,2017,10,0
189,2017-10-09,NorthEastern,29.16,30.21,0.0,0.0,17.17,20.29,46.33,50.5,2017,10,0
190,2017-10-10,Northern,621.75,721.26,25.8,36.06,157.46,191.8,805.01,949.1199999999999,2017,10,1
192,2017-10-10,Southern,590.19,558.62,47.73,46.2,92.06,111.74,729.98,716.5600000000001,2017,10,1
193,2017-10-10,Eastern,479.5,419.5,0.0,0.0,63.36,69.8,542.86,489.3,2017,10,1
194,2017-10-10,NorthEastern,29.16,30.48,0.0,0.0,17.17,21.31,46.33,51.79,2017,10,1
195,2017-10-11,Northern,621.75,714.42,25.8,35.96,157.46,185.07,805.01,935.45,2017,10,2
197,2017-10-11,Southern,598.81,571.5,47.73,46.36,92.06,102.52,738.5999999999999,720.38,2017,10,2
198,2017-10-11,Eastern,486.88,416.31,0.0,0.0,63.36,73.77,550.24,490.08,2017,10,2
199,2017-10-11,NorthEastern,29.16,30.17,0.0,0.0,17.17,21.88,46.33,52.05,2017,10,2
200,2017-10-12,Northern,621.75,703.75,25.8,35.79,157.46,180.93,805.01,920.47,2017,10,3
202,2017-10-12,Southern,598.81,574.58,47.73,46.41,92.06,102.35,738.5999999999999,723.34,2017,10,3
203,2017-10-12,Eastern,486.88,412.28,0.0,0.0,63.36,76.79,550.24,489.07,2017,10,3
204,2017-10-12,NorthEastern,29.16,29.92,0.0,0.0,17.17,19.9,46.33,49.82,2017,10,3
205,2017-10-13,Northern,621.75,704.49,25.8,36.05,157.46,177.37,805.01,917.91,2017,10,4
207,2017-10-13,Southern,598.81,565.98,47.73,46.48,92.06,105.72,738.5999999999999,718.1800000000001,2017,10,4
208,2017-10-13,Eastern,486.88,400.19,0.0,0.0,63.36,72.37,550.24,472.56,2017,10,4
209,2017-10-13,NorthEastern,29.16,29.63,0.0,0.0,17.17,21.15,46.33,50.78,2017,10,4
